         2957751 function calls (2957677 primitive calls) in 7.699 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.080    0.080    7.691    7.691 /home/hcui7/repos/andes_github/andes/routines/timedomain.py:64(run)
2844/2842    0.015    0.000    6.636    0.002 {built-in method builtins.exec}
   202826    2.980    0.000    2.980    0.000 /home/hcui7/repos/andes_github/andes/variables/dae.py:219(add_jac)
   455621    0.369    0.000    0.741    0.000 /home/hcui7/.local/lib/python3.5/site-packages/cvxopt-1.2.0-py3.5-linux-x86_64.egg/cvxopt/__init__.py:222(mul)
     2181    0.028    0.000    0.723    0.000 /home/hcui7/repos/andes_github/andes/models/line.py:246(gcall)
     1535    0.041    0.000    0.673    0.000 /home/hcui7/repos/andes_github/andes/models/vsc.py:457(gycall)
     2182    0.608    0.000    0.671    0.000 /home/hcui7/repos/andes_github/andes/models/line.py:114(build_y)
     1535    0.052    0.000    0.622    0.000 /home/hcui7/repos/andes_github/andes/models/windturbine.py:391(gycall)
     1535    0.050    0.000    0.602    0.000 /home/hcui7/repos/andes_github/andes/models/windturbine.py:409(fxcall)
     1535    0.210    0.000    0.488    0.000 /home/hcui7/repos/andes_github/andes/variables/dae.py:205(reset_Ac)
     1535    0.003    0.000    0.446    0.000 /home/hcui7/repos/andes_github/andes/models/synchronous.py:483(gycall)
   577781    0.423    0.000    0.423    0.000 {built-in method _functools.reduce}
     1535    0.011    0.000    0.399    0.000 /home/hcui7/repos/andes_github/andes/models/vsc.py:473(fxcall)
      640    0.007    0.000    0.381    0.001 /home/hcui7/repos/andes_github/andes/routines/timedomain.py:420(compute_flows)
     1535    0.034    0.000    0.380    0.000 /home/hcui7/repos/andes_github/andes/models/synchronous.py:152(gycall)
     1827    0.019    0.000    0.337    0.000 /home/hcui7/repos/andes_github/andes/models/windturbine.py:183(jac0)
     1535    0.054    0.000    0.330    0.000 /home/hcui7/repos/andes_github/andes/models/vsc.py:627(outer_gycall)
     1535    0.066    0.000    0.324    0.000 /home/hcui7/repos/andes_github/andes/models/vsc.py:638(outer_fxcall)
     1535    0.057    0.000    0.245    0.000 /home/hcui7/repos/andes_github/andes/models/windturbine.py:375(gcall)
      292    0.005    0.000    0.237    0.001 /home/hcui7/repos/andes_github/andes/models/vsc.py:483(jac0)
   122160    0.106    0.000    0.220    0.000 /home/hcui7/.local/lib/python3.5/site-packages/cvxopt-1.2.0-py3.5-linux-x86_64.egg/cvxopt/__init__.py:244(div)
      640    0.003    0.000    0.217    0.000 :2(<module>)
     1535    0.060    0.000    0.209    0.000 /home/hcui7/repos/andes_github/andes/models/vsc.py:433(gcall)
     6141    0.160    0.000    0.204    0.000 /home/hcui7/repos/andes_github/andes/utils/math.py:71(aandb)
     1540    0.009    0.000    0.177    0.000 /home/hcui7/repos/andes_github/andes/models/line.py:256(gycall)
     3070    0.073    0.000    0.176    0.000 /home/hcui7/repos/andes_github/andes/models/windturbine.py:161(gcall)
     1535    0.037    0.000    0.167    0.000 /home/hcui7/repos/andes_github/andes/models/windturbine.py:171(gycall)
     1535    0.003    0.000    0.167    0.000 /home/hcui7/repos/andes_github/andes/models/synchronous.py:487(fxcall)
        2    0.002    0.001    0.161    0.081 /home/hcui7/repos/andes_github/andes/variables/varout.py:49(dump)
     1535    0.003    0.000    0.154    0.000 /home/hcui7/repos/andes_github/andes/models/synchronous.py:471(gcall)
      640    0.013    0.000    0.148    0.000 /home/hcui7/repos/andes_github/andes/variables/varout.py:93(_write_vars)
     1535    0.029    0.000    0.136    0.000 /home/hcui7/repos/andes_github/andes/models/avr.py:57(fcall)
      640    0.006    0.000    0.128    0.000 /home/hcui7/repos/andes_github/andes/variables/varout.py:16(store)
      292    0.001    0.000    0.127    0.000 /home/hcui7/repos/andes_github/andes/models/synchronous.py:479(jac0)
     1540    0.120    0.000    0.120    0.000 {built-in method cvxoptklu.klu.numeric}
     1535    0.016    0.000    0.119    0.000 /home/hcui7/repos/andes_github/andes/models/synchronous.py:306(gcall)
